"TCGA-OR-A5J2-01A-11D-A29H-01"	"TCGA-OR-A5J3-01A-11D-A29H-01"	"TCGA-OR-A5J6-01A-31D-A29H-01"	"TCGA-OR-A5J7-01A-11D-A29H-01"	"TCGA-OR-A5J8-01A-11D-A29H-01"	"TCGA-OR-A5J9-01A-11D-A29H-01"	"TCGA-OR-A5JA-01A-11D-A29H-01"	"TCGA-OR-A5JP-01A-11D-A29H-01"	"TCGA-OR-A5JR-01A-11D-A29H-01"	"TCGA-OR-A5JS-01A-11D-A29H-01"	"TCGA-OR-A5JT-01A-11D-A29H-01"	"TCGA-OR-A5JV-01A-11D-A29H-01"	"TCGA-OR-A5JW-01A-11D-A29H-01"	"TCGA-OR-A5JY-01A-31D-A29H-01"	"TCGA-OR-A5JZ-01A-11D-A29H-01"	"TCGA-OR-A5K0-01A-11D-A29H-01"	"TCGA-OR-A5K1-01A-11D-A29H-01"	"TCGA-OR-A5K3-01A-11D-A29H-01"	"TCGA-OR-A5K4-01A-11D-A29H-01"	"TCGA-OR-A5K5-01A-11D-A29H-01"	"TCGA-OR-A5K6-01A-11D-A29H-01"	"TCGA-OR-A5K8-01A-11D-A29H-01"	"TCGA-OR-A5KO-01A-11D-A29H-01"	"TCGA-OR-A5KU-01A-11D-A29H-01"	"TCGA-OR-A5KW-01A-11D-A29H-01"	"TCGA-OR-A5KX-01A-11D-A29H-01"	"TCGA-OR-A5KY-01A-11D-A29H-01"	"TCGA-OR-A5KZ-01A-11D-A29H-01"	"TCGA-OR-A5LD-01A-11D-A29H-01"	"TCGA-OR-A5LG-01A-11D-A29H-01"	"TCGA-OR-A5LH-01A-11D-A29H-01"	"TCGA-OR-A5LJ-01A-11D-A29H-01"	"TCGA-OR-A5LK-01A-11D-A29H-01"	"TCGA-OR-A5LL-01A-11D-A29H-01"	"TCGA-OR-A5LN-01A-11D-A29H-01"	"TCGA-OR-A5LO-01A-11D-A29H-01"	"TCGA-OR-A5LP-01A-11D-A29H-01"	"TCGA-OR-A5LS-01A-11D-A29H-01"	"TCGA-OR-A5LT-01A-11D-A29H-01"	"TCGA-OU-A5PI-01A-12D-A29H-01"	"TCGA-PA-A5YG-01A-11D-A29H-01"	"TCGA-PK-A5H9-01A-11D-A29H-01"	"TCGA-PK-A5HA-01A-11D-A29H-01"
"EIF4E"	0	0	0	-1	0	1	1	0	1	-1	1	1	0	-1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	-1	1	0	1	1	1	1	0	1	1	1	0	0	-1
"CHEK1"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"CDH1"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	-1	1	1	1	0	0	1	1	1	1	0	1	1	2	2	0	0	0	1	0	1	1	1	1	1	1	0	0
"STAT3"	0	0	0	-1	1	0	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	0	-2	0	-1	1	-1	0	0	-1
"ACACA"	0	0	0	1	1	0	-1	-2	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	-2	0	-1	1	-1	0	0	-1
"WWTR1"	1	0	-1	-1	0	0	-1	-1	1	0	0	0	-1	-1	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"FOXO3"	0	0	1	-1	2	0	1	0	0	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-1	1	0	0	-1	0	-1	0	0	1
"GSK3B"	1	0	-1	-1	-1	0	-1	-1	1	0	0	0	-1	-1	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	0	0	0
"GSK3A"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"PTK2"	0	0	1	-1	-1	1	-1	1	1	0	1	1	-1	1	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	-1	0	-1	0	0	0
"PARK7"	-2	0	0	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"TGM2"	1	0	1	1	1	1	-1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"BCL2"	0	0	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"PRRT2"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0
"RAB11B"	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	0	0
"RAB11A"	0	0	0	-1	0	0	1	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"ETS1"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	1	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"ACACB"	1	1	1	1	1	1	1	1	1	0	1	1	0	-1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"CDK1"	1	0	0	1	0	1	-1	1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"MS4A1"	0	0	0	1	-1	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"EEF2K"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0
"LCK"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"KEAP1"	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	2	0	1	2	1	1	1	1	1	1	1	1	1	0	0
"E2F1"	1	0	1	-1	1	1	-1	0	1	0	2	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"XRCC1"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"CTNNA1"	0	1	1	1	-1	1	1	0	1	-1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1
"NFKB1"	0	0	0	-1	0	1	1	0	1	-1	1	1	0	-1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	-1	1	0	1	1	1	1	0	1	1	1	0	0	-1
"RAD50"	0	1	1	1	-1	1	1	0	1	-1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1
"MYC"	0	0	1	1	-1	1	-1	1	1	0	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	-1	0	-1	0	0	0
"IRS1"	0	0	1	1	0	0	-1	1	0	-1	0	-1	-1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"VHL"	1	0	0	-1	0	0	-1	-1	1	0	0	1	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	1	-1	0	0	0
"CCND1"	0	0	0	1	-1	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"CAV1"	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	-1	-1	1	1	1	1	0	1	1	-1	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"PIK3R1"	0	1	1	1	0	1	1	0	1	2	1	1	1	2	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
"AR"	1	1	1	0	1	1	1	0	1	-1	1	0	-1	1	1	1	1	1	1	0	-1	1	1	1	-1	0	1	1	1	-1	1	1	0	-1	0	1	1	0	1	0	1	0	-1
"PRDX1"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"NCOA3"	1	0	1	-1	1	1	-1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"XBP1"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1
"BCL2L1"	1	0	1	-1	1	1	-1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"TP63"	1	0	-1	1	-1	0	-1	-1	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"GAPDH"	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	0	0
"TYMS"	0	0	-1	-1	1	0	-1	-1	0	-1	-1	-1	-1	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	0	1	0	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"MSH6"	0	0	1	1	1	0	-1	1	0	-1	0	-1	-1	1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	1	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"KIT"	0	0	0	1	0	1	1	0	1	-1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	-1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	-1
"CCNB1"	0	1	1	1	0	1	1	0	1	2	1	1	1	2	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
"BRAF"	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	-1	1	1	1	1	0	1	1	-1	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"TUBA1B"	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"MYH11"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0
"NF2"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1
"DVL3"	1	0	-1	1	-1	0	-1	-1	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"PTCH1"	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0
"NRG1"	0	0	1	-1	0	1	-1	1	1	0	1	1	-1	0	1	0	1	0	1	0	-1	0	1	1	1	1	0	1	1	-2	0	0	0	-1	1	0	0	-1	0	-1	0	0	0
"KRT5"	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"ARAF"	1	1	1	0	2	1	1	0	1	-1	1	0	-1	1	1	1	1	1	1	0	-1	1	1	1	1	0	1	1	1	-1	1	1	0	-1	0	1	1	0	1	0	1	0	-1
"RPS6KB1"	0	0	0	-1	1	0	-1	1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	1	-1	0	0	-1
"MYH9"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1
"NOTCH3"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	2	0	1	1	1	1	1	1	1	2	0	1	2	1	1	1	1	1	1	1	1	1	0	0
"KRAS"	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"PDK1"	0	0	1	1	0	0	-1	1	0	-1	0	-1	-1	-1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"MAP2K1"	0	0	0	-1	0	0	1	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"PRKAA1"	-1	1	1	1	1	1	1	0	1	0	1	1	2	2	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0
"FOXM1"	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	0	0
"COL6A1"	0	1	1	1	-1	1	-1	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	-1	0	0	0	0	-1	1	0	1	-2	1	0	0	-1
"STAT5A"	0	0	0	-1	1	0	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	0	-2	0	-1	1	-1	0	0	-1
"XIAP"	1	1	1	0	-1	1	0	0	1	-1	1	0	-1	1	1	-1	1	1	1	0	-1	1	1	1	-1	0	1	1	1	-1	1	1	1	-1	0	1	1	0	1	0	1	0	0
"NDRG1"	0	0	1	-1	-1	1	-1	1	1	0	1	1	-1	1	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	-1	0	-1	0	0	0
"PGR"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"GAB2"	0	0	0	1	-1	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"YWHAB"	1	0	1	-1	1	1	-1	0	1	2	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"PIK3R2"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	2	0	1	2	1	1	1	1	1	1	1	1	1	0	0
"ANXA1"	0	0	0	1	0	1	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0
"EZH2"	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	-1	1	1	1	1	0	1	1	-1	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"RAB25"	1	0	0	1	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	0
"ERCC1"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	2	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"BAX"	1	1	1	1	0	1	1	1	1	0	0	-1	0	0	0	0	0	1	0	1	0	1	1	1	2	1	2	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"BID"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	2	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	1	0	-1	-1	-1	0	0	-1
"ARID1A"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"TFRC"	1	0	-1	1	-1	0	-1	-1	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"HSPA1A"	0	0	1	1	0	0	1	-1	0	0	0	-1	0	-2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	-1	1	0	0	-1	-1	-1	0	0	0
"PXN"	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	-1	1	1	1	1	1	1	1	0	0
"CCNE2"	0	0	1	-1	0	1	-1	1	1	0	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	-1	0	-1	0	0	0
"PTGS2"	1	0	0	1	0	0	0	1	0	0	0	1	-1	-1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0
"ERRFI1"	-2	0	0	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"SYP"	1	1	1	0	1	1	1	0	1	-1	1	0	-1	1	1	1	1	1	1	0	-1	1	1	1	1	0	1	1	1	-1	1	1	0	-1	0	1	1	0	1	0	1	0	-1
"PARP1"	1	0	0	1	0	0	0	1	0	0	0	1	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	-1	0	0	0
"RBM3"	1	1	1	0	2	1	1	0	1	-1	1	0	-1	1	1	1	1	1	1	0	-1	1	1	1	1	0	1	1	1	-1	1	1	0	-1	0	1	1	0	1	0	1	0	-1
"CASP9"	0	0	0	-1	0	0	0	-1	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"CASP3"	0	0	0	-1	0	1	0	-1	1	-2	1	1	0	-2	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	-1	1	1	0	0	-1
"NAPSA"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	2	1	2	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"SYK"	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0
"RPTOR"	0	0	0	-1	1	0	-1	1	0	-1	0	-1	-1	1	0	0	0	0	0	0	2	0	0	1	0	0	-2	0	0	-1	0	0	0	0	0	0	0	-1	1	-1	0	0	0
"SETD2"	1	0	0	-1	0	0	-1	-1	1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	-1	0	0	0	-1	1	-1	0	0	0
"ANXA7"	1	0	0	1	0	1	-1	1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"BAD"	0	0	0	1	-1	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"SNAI2"	0	0	1	-1	0	1	-1	1	1	0	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	0	0	-1	1	0	0	-1	0	-1	0	0	0
"MSH2"	0	0	1	1	1	0	-1	1	0	-1	0	-1	-1	1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	1	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"CASP8"	0	0	1	1	0	0	-1	1	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"PREX1"	1	0	1	-1	1	1	-1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0
"RET"	1	0	0	1	0	1	-1	0	0	-1	0	-1	0	-1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"TFF1"	0	1	1	1	-1	1	-1	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	-1	0	0	0	0	-1	1	0	1	-2	1	0	0	-1
"CDKN2A"	0	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	-2	-1	0	-1	0	0	0	-2	-1	1	1	0	0	0	1	-1	0	-2	0	1	0	1	0	0	0	1	1	1	0	0	0
"DIABLO"	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	-1	1	1	1	1	1	1	1	0	0
"MACC1"	1	1	1	1	1	0	1	-1	1	0	1	1	0	2	0	0	1	1	0	1	2	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"CHGA"	0	1	-1	-1	0	0	1	1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	-1	1	0	1	-1	1	0	0	-1
"IDH3A"	0	0	0	-1	0	0	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"SQSTM1"	0	1	1	1	-1	1	-1	0	1	2	1	1	1	0	1	0	1	1	2	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1
"KCNJ13"	0	0	1	1	1	0	-1	0	0	-1	0	-1	-1	-2	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
