"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-mir-3199-1"	1	1	2	1	5	0	6	2	4	1	1	0	2	0	2	4	1	1	5	0	4	4	3	5	3	2	0	1	2	2	1	0	0	0	2	3	1	0	1	4	4	1	2
"hsa-mir-3199-2"	1	0	2	0	3	1	1	2	0	7	1	0	2	3	1	2	1	1	3	0	0	0	1	0	1	1	5	2	4	1	1	0	1	1	0	3	1	1	1	2	1	1	0
"hsa-mir-32"	251	191	269	410	63	369	952	173	232	227	147	166	382	166	134	763	152	178	372	162	156	709	328	173	195	347	389	649	451	341	141	100	128	222	337	466	84	217	206	106	120	302	535
"hsa-mir-3200"	83	39	162	33	13	29	183	71	115	50	170	33	8	859	558	16	63	110	205	46	39	31	46	23	124	552	25	690	201	21	65	9	142	15	56	379	25	37	9	55	18	32	121
"hsa-mir-320a"	3917	4084	2890	2780	3425	7059	5582	6995	6305	4313	2342	3700	2503	4499	4043	9892	4277	1942	6941	1927	4099	2358	5947	2767	5591	7194	2914	10376	12273	4707	826	1823	3389	3046	3750	5131	1277	2137	1624	1361	2299	2860	2977
"hsa-mir-320b-2"	30	30	13	13	16	40	47	19	21	25	14	28	10	33	15	127	17	7	24	16	20	16	17	46	22	56	19	124	61	19	6	13	16	13	12	32	5	20	5	8	17	21	26
"hsa-mir-320c-1"	2	4	3	1	11	9	2	1	2	6	2	3	2	3	9	16	2	0	3	3	1	1	1	3	2	5	1	2	7	0	1	3	1	0	1	9	1	2	0	1	0	5	2
"hsa-mir-320c-2"	3	2	3	0	0	3	3	0	4	1	1	7	1	2	5	9	5	2	3	0	2	1	2	2	3	6	0	3	2	1	0	2	0	0	5	3	1	2	0	2	1	0	1
"hsa-mir-323"	7	2932	2176	2816	405	4	2904	2307	7	1249	4	8	7	13	10	2	7	517	3662	1216	935	6	2015	11	2957	2065	2	2079	2047	614	6	394	23	123	812	7773	10	2200	317	1051	9	2480	24
"hsa-mir-323b"	4	3398	4999	2917	474	1	3324	1733	9	1501	8	15	11	10	12	4	12	922	3846	829	1202	11	3112	4	6138	3316	11	583	2816	859	5	509	29	209	2445	13167	6	2620	481	964	11	3790	51
"hsa-mir-324"	810	214	238	341	415	895	431	519	405	518	238	614	120	393	351	437	213	232	628	332	520	137	125	241	265	343	698	804	1809	512	218	116	218	167	488	579	73	141	462	348	245	348	161
"hsa-mir-326"	7	1	7	20	11	3	18	1	5	4	0	3	3	5	1	2	2	1	3	3	4	4	1	6	1	2	8	3	3	2	6	3	6	1	5	14	1	8	5	11	4	6	9
"hsa-mir-328"	1293	970	966	289	267	1599	1267	425	3836	883	1143	2090	666	674	5552	614	1781	986	8814	546	2140	405	580	514	1410	673	1413	425	4496	777	410	140	406	522	1018	2080	451	1212	1668	2594	892	708	993
"hsa-mir-329-1"	0	81	88	120	41	0	288	129	0	41	0	0	0	0	1	0	0	27	109	52	24	0	129	0	99	139	1	142	348	29	1	13	2	12	22	221	1	114	6	23	1	52	0
"hsa-mir-329-2"	2	91	64	120	43	1	275	155	2	53	0	1	1	3	0	0	0	23	111	51	21	0	136	5	112	154	4	153	388	26	0	15	5	9	36	224	1	111	10	26	1	58	2
"hsa-mir-330"	258	337	197	392	37	170	437	209	77	730	48	102	185	634	165	13	76	128	87	545	199	193	93	305	592	730	1817	441	87	343	83	88	63	155	95	1258	81	149	66	148	86	75	42
"hsa-mir-331"	701	230	115	301	119	131	258	131	143	128	51	113	177	99	98	239	51	118	146	113	202	266	38	129	188	54	393	138	257	37	68	44	105	75	214	119	67	294	147	122	104	109	128
"hsa-mir-335"	738	1549	124	172	408	306	602	854	219	558	7	228	283	912	189	53	141	237	72	56	665	158	497	327	1601	610	353	4972	35	1468	343	132	181	1060	78	558	187	290	8	530	274	278	152
"hsa-mir-337"	124	693	6538	1869	3375	17	1529	1866	27	797	12	33	51	27	26	18	51	226	4255	882	791	56	2822	87	2045	1419	154	2376	5406	873	31	326	56	139	888	1800	28	805	219	736	13	2921	92
"hsa-mir-338"	17168	1408	511	2169	1353	13321	831	2388	580	5741	370	1263	3922	3061	628	436	516	924	405	3767	2497	1875	1226	1810	1942	1594	4539	881	490	354	1469	745	1515	2907	2069	1250	763	6421	4165	9258	2738	1230	3047
"hsa-mir-339"	494	342	107	160	445	137	1100	165	446	346	272	264	243	391	134	230	357	399	300	104	495	723	288	442	310	295	347	291	294	298	310	152	528	226	300	230	173	182	426	268	461	94	360
"hsa-mir-33a"	153	157	200	85	39	104	551	107	228	310	24	317	304	182	50	329	106	159	284	95	1197	371	86	170	102	128	341	312	225	441	234	84	103	111	223	278	42	130	104	618	1033	158	73
"hsa-mir-33b"	8	10	2	9	4	14	30	4	22	20	12	26	41	10	16	12	20	15	21	3	51	40	2	43	10	9	48	18	15	9	11	1	14	17	30	27	11	10	21	1	100	2	8
"hsa-mir-340"	236	99	98	123	135	106	128	112	132	180	86	150	157	91	265	76	144	276	442	81	48	190	169	116	102	112	165	193	148	111	203	70	231	138	197	238	96	128	126	122	234	256	258
"hsa-mir-342"	860	377	234	182	1209	564	449	665	410	683	170	805	522	655	415	258	367	443	785	199	241	236	540	548	142	1886	398	262	1157	356	362	129	813	581	687	1286	237	461	242	547	779	186	471
"hsa-mir-345"	37	11	7	16	30	12	41	75	20	186	7	34	42	21	11	108	15	14	38	17	87	9	22	11	3	12	20	58	21	23	11	8	13	5	22	18	8	18	28	28	73	53	29
"hsa-mir-346"	1	10	1	1	1	10	1	3	1	4	0	4	5	1	0	34	3	0	2	0	3	6	6	9	1	7	10	0	73	1	5	3	3	0	3	30	0	7	15	23	1	0	10
"hsa-mir-34a"	603	3566	460	573	834	1294	2701	953	2059	3683	888	2871	4202	2367	2329	303	2250	7098	678	745	1896	3651	920	3564	2695	1948	399	1073	2449	1857	2038	838	1538	923	6186	5465	5902	4056	4183	4948	15842	1632	2139
"hsa-mir-34b"	4	1	5	64	2	1	0	6	192	14	1	6	3	126	8	30	7	33	0	46	9	23	1	45	2	21	0	1	24	4	35	27	93	2	2	38	1	30	13	70	9	0	49
"hsa-mir-34c"	14	16	8	107	7	9	19	22	417	97	9	10	7	242	25	116	5	204	4	99	28	163	3	120	2	55	4	10	81	13	116	81	276	11	16	130	7	109	55	190	32	4	154
"hsa-mir-3605"	43	12	16	16	38	17	11	35	12	10	9	29	15	66	4	21	7	5	27	33	28	11	10	7	8	13	20	4	5	16	7	13	9	11	12	11	6	14	12	23	14	21	6
"hsa-mir-3607"	92	45	64	40	16	141	27	55	121	56	79	141	100	186	61	126	159	540	234	69	86	125	58	131	15	183	64	225	224	323	48	154	99	59	133	61	196	187	90	103	385	161	222
"hsa-mir-361"	3237	2545	759	2000	1525	1697	5875	963	3563	8181	3112	2896	2614	2258	3345	13086	2597	4847	9086	1369	2791	3362	4599	4459	3493	3645	1500	2559	1922	3700	3354	958	3423	3310	4405	12771	5032	2794	3055	4085	15560	2362	4335
"hsa-mir-3610"	1	2	2	1	2	2	1	0	1	5	0	1	3	2	2	9	1	1	2	1	2	1	12	3	2	6	2	10	3	1	0	4	2	1	2	0	0	1	0	0	1	5	3
"hsa-mir-3613"	86	24	55	34	152	45	250	27	115	63	56	131	56	54	54	8	63	100	248	31	118	89	66	31	93	40	49	54	83	146	93	22	116	73	193	88	20	21	64	44	52	49	93
"hsa-mir-3614"	6	2	57	7	20	0	2	4	0	2	2	23	13	8	0	11	5	10	1	1	3	0	1	13	3	2	1	3	1	8	6	0	5	16	20	2	6	11	12	5	19	4	9
"hsa-mir-3615"	12	19	17	29	11	18	25	25	19	22	6	26	15	29	11	10	3	12	18	4	9	4	7	36	10	6	23	26	23	11	27	9	18	11	35	56	8	29	33	16	26	50	15
"hsa-mir-3619"	4	2	2	1	0	6	0	3	1	10	2	0	1	2	0	4	0	0	0	2	8	0	1	1	3	0	10	8	1	2	3	4	2	0	2	1	1	3	6	2	0	2	0
"hsa-mir-362"	275	71	103	104	363	67	363	92	313	74	76	363	134	98	120	107	389	488	467	32	122	282	77	162	126	268	97	97	48	241	333	51	545	242	494	143	296	143	237	578	2862	311	1445
"hsa-mir-3620"	15	1	3	1	0	3	2	9	1	1	0	1	0	3	1	0	2	1	3	2	0	0	1	0	1	4	1	4	15	0	1	0	0	0	0	8	0	1	0	0	0	2	1
"hsa-mir-363"	24	12	15	41	42	52	44	6	6	20	3	15	10	12	7	14	12	52	14	2	38	13	24	18	4	32	5	17	26	7	55	7	20	7	12	51	7	88	12	63	19	23	23
"hsa-mir-3647"	16	7	12	6	17	19	9	26	13	36	19	12	8	12	18	19	44	39	32	13	18	21	19	21	4	18	20	147	17	115	1	4	8	10	11	11	5	19	27	19	51	14	26
"hsa-mir-3648"	11	16	26	1	3	39	13	18	6	10	0	5	10	10	4	19	16	5	6	52	37	2	8	17	5	105	19	308	17	19	18	2	20	4	41	7	9	6	5	6	7	4	5
"hsa-mir-365-1"	206	300	475	230	77	629	761	87	639	630	131	335	524	268	471	278	507	421	539	175	150	508	582	183	394	508	429	176	942	733	489	188	402	651	783	792	210	590	247	263	452	326	988
"hsa-mir-365-2"	221	270	445	228	66	614	805	64	665	591	113	335	449	253	462	276	525	406	509	151	141	465	584	175	353	444	411	150	931	682	473	192	395	651	795	762	207	530	239	285	450	320	983
"hsa-mir-3651"	2	2	4	2	3	1	10	12	0	11	1	3	0	40	1	9	2	16	9	10	6	8	2	5	1	4	3	308	5	2	8	11	5	1	4	3	3	2	13	6	7	1	11
"hsa-mir-3652"	1	1	1	5	0	1	2	3	0	0	0	4	3	4	0	3	0	4	1	1	5	1	2	1	1	0	5	43	5	0	2	6	6	0	2	3	0	1	1	0	5	2	2
"hsa-mir-3653"	44	11	68	15	35	17	25	34	27	66	14	60	24	28	29	77	45	95	21	17	38	38	13	52	10	43	26	72	59	35	17	24	63	40	39	13	29	16	26	23	95	52	66
"hsa-mir-3655"	0	2	0	0	0	0	2	1	1	0	0	0	3	0	1	1	3	2	0	0	2	7	3	0	2	1	0	3	0	8	0	1	1	2	1	1	0	0	6	1	2	2	3
"hsa-mir-3662"	0	3	0	3	0	0	0	4	0	0	1	0	0	2	0	0	1	0	0	0	4	0	1	4	0	4	4	21	5	1	0	2	0	1	0	0	0	0	1	0	3	1	0
"hsa-mir-3676"	1	3	3	7	22	6	13	3	2	11	1	2	2	13	1	2	0	10	2	5	29	1	2	15	0	8	3	49	7	0	3	7	3	2	6	5	3	0	6	2	2	1	1
"hsa-mir-3677"	24	10	4	17	11	22	59	20	31	13	17	16	7	33	24	25	18	11	44	19	15	20	33	14	19	8	45	45	30	2	1	1	9	4	6	4	5	23	39	5	9	14	18
"hsa-mir-3678"	0	1	4	1	1	1	3	8	6	0	2	3	2	1	1	0	0	3	5	5	0	5	2	2	1	4	2	2	1	0	0	1	0	0	7	3	0	4	3	2	7	11	5
"hsa-mir-3682"	1	2	1	6	5	0	2	12	2	5	2	1	1	5	8	6	1	0	3	8	1	2	0	0	2	0	6	4	0	3	4	0	5	3	1	0	2	1	3	1	3	3	0
"hsa-mir-3687"	3	3	4	12	1	14	3	13	1	1	0	0	0	4	2	10	3	2	0	15	8	0	1	5	1	12	2	104	4	1	2	1	3	0	1	1	0	0	1	2	0	4	2
"hsa-mir-369"	42	2632	2673	2178	702	4	3691	1213	8	1787	8	42	30	22	14	9	17	286	3948	727	2036	16	1967	30	3561	1466	30	1033	2544	572	8	493	24	297	755	6707	17	1833	107	524	8	2069	38
"hsa-mir-3690"	0	1	1	2	1	0	9	0	6	2	0	5	0	0	7	0	1	3	3	0	1	2	0	0	1	0	3	2	0	7	2	0	1	4	4	0	1	0	0	2	10	3	0
"hsa-mir-370"	20	2247	1827	1620	525	4	2188	2195	12	1520	5	11	16	15	12	4	14	384	1959	1307	1215	15	1615	6	3590	930	20	1536	2096	754	10	524	19	238	879	4874	11	1748	217	829	7	1878	27
"hsa-mir-372"	57	0	1	0	0	1	8	0	1	0	2	3	0	16	1	0	2	1	0	7	3	0	1	0	1	7	3	4	0	0	1	3	2	1	2	1	0	1	0	1	1	2	0
"hsa-mir-374a"	5970	8364	1600	6465	5278	2451	11728	2540	3390	11181	1992	2326	9133	3531	4895	7907	5125	7056	8268	1063	2998	13916	5238	3273	6968	1989	7325	3336	3720	4430	3616	2303	5908	2757	4889	10243	4503	4527	4045	3920	5982	7289	3363
"hsa-mir-374b"	487	458	156	813	478	405	1224	230	410	712	203	202	485	747	343	1241	378	858	724	155	430	1298	374	515	443	287	458	433	385	479	445	246	606	328	387	1267	325	617	465	341	1026	479	669
"hsa-mir-375"	1803	885	161	66	483	22	2956	1165	59	42	42	37	40	4109	191	1040	34	62	241	881	47	160	127	282	1375	672	484	308	329	36	1072	165	135	84	147	107	191	136	152	274	43	1445	43
"hsa-mir-376a-1"	4	375	708	262	171	2	570	466	1	99	1	5	4	3	1	2	3	70	978	171	219	0	839	3	421	599	2	513	1383	172	1	82	7	14	188	990	2	274	56	123	3	277	13
"hsa-mir-376a-2"	2	276	186	178	56	0	473	134	1	66	0	1	3	1	2	1	2	35	631	45	102	4	608	1	225	228	1	384	926	81	1	36	1	2	51	851	0	121	16	29	0	107	4
"hsa-mir-376b"	3	384	279	339	108	2	831	330	3	188	1	4	1	5	2	1	5	150	1112	48	243	2	812	8	386	397	2	398	941	337	1	107	4	10	90	1240	2	187	42	128	3	238	2
"hsa-mir-376c"	6	1353	1569	1186	375	3	1492	782	11	865	2	12	14	11	7	5	10	286	1987	284	479	10	1900	23	1548	1547	14	823	2591	920	6	491	21	23	447	3958	10	849	112	430	5	833	25
"hsa-mir-377"	4	534	627	256	170	1	509	255	2	370	0	2	3	5	5	4	2	71	347	138	262	6	568	9	606	324	3	244	266	216	7	230	6	104	123	609	1	671	40	216	1	385	9
"hsa-mir-378"	857	877	1141	1536	2428	786	2080	629	2203	802	1087	2415	2758	1610	1636	302	1661	4296	2899	200	348	1954	1378	660	1040	609	987	514	715	1407	1281	1358	1522	380	1364	3051	1160	913	439	954	4337	1411	1927
"hsa-mir-378c"	20	24	32	50	30	29	30	7	77	14	20	45	126	24	59	5	64	149	89	9	7	81	23	25	40	7	28	7	16	31	31	43	25	9	37	160	29	22	11	24	135	32	36
"hsa-mir-379"	790	84117	80108	49249	19659	148	99779	33714	281	59521	198	509	830	384	356	286	427	14655	75154	30019	36320	613	82350	578	123200	17086	774	59971	41617	27370	442	23321	1202	11846	27032	103282	310	63397	8120	24532	279	58991	1144
"hsa-mir-380"	1	275	284	195	25	0	436	215	0	205	0	1	3	2	3	2	2	77	285	114	80	1	291	0	363	75	3	330	414	81	0	25	8	12	103	328	1	186	12	35	1	220	3
"hsa-mir-381"	101	8088	4648	11050	930	11	11138	3382	35	9721	35	66	104	46	36	28	41	2377	13123	1880	2552	65	9003	61	15769	3602	67	3975	4912	3792	54	1992	79	238	1728	27737	57	5214	418	2845	26	6651	129
"hsa-mir-382"	41	4024	4973	2397	1151	4	3958	2738	12	4529	7	22	34	31	17	15	17	660	4923	1637	2094	22	4920	22	5897	3391	20	3412	3531	1904	32	696	66	690	2200	5880	27	4652	219	860	17	3377	52
"hsa-mir-383"	0	23	2	0	8	113	4	356	2	0	0	0	0	1	0	0	0	0	1	1	5	0	4	0	7	0	22	0	1	0	0	9	0	1	2	1	0	0	0	16	6	0	9
"hsa-mir-3909"	2	1	0	0	0	1	5	3	1	3	1	1	1	2	3	10	0	2	4	0	1	3	2	1	1	1	2	2	7	2	1	0	2	4	2	1	2	1	1	4	4	6	2
"hsa-mir-3912"	11	3	11	10	5	18	3	1	10	19	6	6	15	1	14	15	17	15	11	8	3	30	12	10	13	10	4	2	13	1	10	4	14	4	11	26	7	10	6	10	10	12	7
"hsa-mir-3913-1"	36	6	9	8	12	11	4	5	15	6	11	26	16	12	12	7	13	23	37	17	8	10	4	10	5	46	4	29	15	8	12	6	14	8	9	13	10	3	16	1	12	16	22
"hsa-mir-3917"	5	0	1	2	1	2	2	7	1	0	0	0	0	1	2	1	1	0	0	1	2	6	7	2	3	3	4	5	6	0	0	4	2	1	0	2	0	0	1	0	2	4	2
"hsa-mir-3922"	18	1	0	5	4	3	3	3	5	1	1	5	2	0	8	1	2	2	8	0	1	4	4	3	1	2	6	1	0	3	5	1	6	3	5	3	4	1	2	3	1	0	1
"hsa-mir-3923"	1	0	0	4	37	3	18	95	0	0	0	0	0	17	0	0	0	0	9	1	0	0	4	0	9	0	18	129	46	0	0	0	0	0	0	0	1	0	1	0	2	1	1
"hsa-mir-3926-1"	10	7	14	7	0	23	12	13	20	16	3	2	9	2	12	13	5	1	9	8	10	6	13	5	8	3	11	10	4	14	0	0	8	16	12	5	0	4	6	8	3	5	11
"hsa-mir-3926-2"	2	3	5	5	0	9	4	5	10	6	2	1	2	3	2	3	4	1	11	2	0	2	19	1	2	0	0	1	0	4	0	0	6	4	3	4	2	0	1	0	1	6	4
"hsa-mir-3928"	2	1	5	6	3	6	3	6	2	7	1	8	2	2	3	0	3	1	3	1	2	2	3	1	4	5	5	12	17	1	5	0	3	1	1	6	3	3	2	0	5	3	7
"hsa-mir-3934"	1	0	0	7	4	1	0	3	2	13	2	1	1	18	21	0	7	1	25	0	5	8	8	1	1	11	0	11	6	1	1	0	21	2	14	0	11	0	15	1	10	12	7
"hsa-mir-3940"	2	4	2	18	4	2	12	47	3	4	0	0	7	7	1	34	1	0	3	3	7	4	1	4	35	3	33	17	3	6	1	0	1	5	1	4	0	2	0	2	0	1	1
"hsa-mir-409"	74	8677	6298	8198	1713	21	8868	7707	34	4792	23	69	92	50	53	27	80	3059	22686	2782	2841	61	9369	95	13866	9850	77	6476	15423	6555	33	1091	177	638	5340	23584	58	9520	928	6116	28	8132	134
"hsa-mir-410"	17	3058	8020	1986	459	4	2558	3075	10	1324	10	18	17	19	14	3	12	858	5929	1985	388	35	2845	23	6723	2827	21	3709	3575	739	15	326	30	135	1404	16742	19	1841	222	509	16	6863	73
"hsa-mir-411"	6	832	1228	679	196	0	854	528	6	735	2	2	14	6	3	0	2	315	1117	347	333	5	1187	4	1232	320	11	920	719	356	11	461	35	74	442	1592	3	1260	116	402	5	882	16
"hsa-mir-412"	10	1869	7996	5187	93	6	664	6649	14	1094	6	38	26	19	29	9	37	929	583	2088	433	21	449	47	3405	485	36	3471	8638	864	24	38	13	125	3120	3471	24	4404	67	1119	11	7208	30
"hsa-mir-421"	15	20	7	29	10	21	43	12	20	32	17	4	13	87	16	26	12	48	48	16	2	16	19	18	40	11	26	68	45	18	14	4	9	7	14	68	10	15	14	13	11	16	20
"hsa-mir-423"	869	510	646	619	1297	767	1224	494	907	753	695	552	772	1523	1087	1142	566	1017	1352	740	1164	741	779	621	574	1318	584	1272	1413	1182	752	421	907	986	1177	825	394	594	1310	683	742	1059	873
"hsa-mir-424"	5500	5248	896	4496	1818	1846	2422	4260	1601	6446	184	2801	10835	2695	734	3842	824	1408	659	871	4285	7594	2396	1606	5272	6134	4619	3939	2589	2589	1171	7997	3143	6144	446	3295	2059	5088	3035	9394	723	978	1917
"hsa-mir-425"	1633	454	497	1783	922	422	1666	389	850	1462	293	513	266	2619	355	1288	392	847	811	638	1045	309	510	1227	355	4190	543	1619	988	922	775	319	1001	683	735	1756	300	703	1163	314	551	451	938
"hsa-mir-429"	2	2	0	0	1	0	0	54	1	2	0	2	0	0	0	15	0	0	1	0	0	1	0	0	0	0	2	4	62	0	0	0	1	1	0	0	1	0	1	0	0	72	0
"hsa-mir-431"	31	3237	11548	4209	2969	7	1580	12445	23	686	17	33	19	47	32	16	42	668	8738	5702	676	33	4814	36	7364	9966	42	6544	14657	1475	8	652	69	176	2369	10586	27	1689	585	769	16	8811	92
"hsa-mir-432"	18	2906	9303	2841	1339	2	1750	6090	6	1004	15	11	31	16	29	8	33	362	4938	4354	525	31	4048	25	8043	3900	19	2914	5108	1027	16	481	26	254	475	8873	22	1290	239	616	25	6019	36
"hsa-mir-4326"	31	2	14	14	52	24	137	39	28	79	31	40	24	3	35	54	63	83	83	22	46	105	46	31	4	73	126	142	143	32	2	33	103	41	0	37	43	12	52	26	39	16	20
"hsa-mir-433"	2	217	2177	108	256	0	193	1438	3	80	1	7	5	0	5	1	4	97	1051	348	91	3	223	4	925	900	10	503	1856	178	3	39	6	23	421	974	4	226	22	108	4	537	21
"hsa-mir-450a-1"	554	462	74	135	105	85	1230	84	77	146	14	113	291	305	27	157	46	280	99	153	338	394	185	177	1003	193	203	183	214	78	416	66	333	137	22	468	66	229	158	330	22	67	177
"hsa-mir-450a-2"	511	465	75	139	92	106	1164	98	78	168	14	132	279	324	25	149	39	231	97	150	321	442	201	174	922	190	187	183	220	102	386	62	342	110	19	456	53	212	155	349	18	58	154
"hsa-mir-450b"	2557	1608	217	580	213	352	4280	292	281	623	72	695	810	1557	170	456	249	1078	390	522	1142	1521	808	418	3711	393	726	793	495	211	1403	137	1191	318	74	1729	326	512	475	841	72	337	743
"hsa-mir-451"	671	2317	4706	4130	34502	768	3124	1078	884	1356	212	352	1712	2380	1424	7331	1024	12373	760	1111	10201	745	2385	9403	1428	688	356	2815	820	781	27893	305	1723	922	2344	8080	436	20607	469	241	1236	2187	471
"hsa-mir-452"	192	42	161	11	349	60	31	83	455	57	314	18	31	9354	153	66	48	9	58	25	19	53	55	84	35	517	60	88	31	151	41	21	633	377	502	106	81	21	114	120	50	1444	45
"hsa-mir-454"	80	16	18	48	51	49	76	72	37	79	28	47	26	86	46	146	46	118	70	46	26	43	42	103	23	177	59	221	185	29	14	9	31	42	102	46	20	39	66	42	44	45	47
"hsa-mir-455"	2481	2412	82	100	1070	1406	7404	65	3060	1145	1103	263	4453	128	2162	5485	1539	111	1717	108	1810	4865	1836	1743	4524	834	5367	2962	2660	1117	391	1292	639	1819	855	1670	156	1888	1102	1908	960	2080	157
"hsa-mir-466"	12	2	1	0	5	1	6	2	195	9	116	38	0	26	33	34	11	51	26	0	53	6	3	10	2	0	3	6	1	5	2	0	122	11	59	0	6	0	34	2	61	0	49
"hsa-mir-483"	5061	338	12976	15250	11334	1873	5697	11657	12203	2445	7723	1938	1710	20487	14824	28	15687	17388	55742	4318	22	6614	8216	3044	5854	7153	9345	16730	23580	11086	5425	36	7095	98	10872	7911	1009	4349	11376	193	590	24926	10757
"hsa-mir-484"	191	557	243	869	393	385	832	290	467	1063	335	451	540	373	492	403	373	421	928	153	481	635	465	500	636	690	378	572	955	481	315	90	218	199	335	899	170	712	442	136	394	272	193
"hsa-mir-485"	9	3361	1273	702	273	0	1799	844	4	625	2	9	10	5	4	2	11	401	6764	278	483	6	2673	11	2197	2312	8	446	880	722	13	347	19	234	615	2779	7	1249	243	525	6	958	13
"hsa-mir-486"	268	1066	1791	2663	4815	355	645	270	309	278	171	138	652	742	3300	1820	942	5716	731	325	2377	270	766	2733	579	161	131	461	129	335	7742	98	459	373	1100	2201	317	5915	166	112	569	962	167
"hsa-mir-487a"	1	401	659	301	128	0	647	194	1	276	0	2	3	3	2	1	1	84	615	149	174	4	467	6	1006	513	1	322	732	219	0	81	7	43	180	1517	3	530	34	264	3	166	6
"hsa-mir-487b"	22	1929	4435	2468	359	3	1884	1606	7	938	4	8	13	11	9	5	26	395	3294	1123	636	8	2975	9	4109	3471	17	981	2534	1228	10	405	32	256	1094	6532	11	2338	215	975	8	2803	26
"hsa-mir-488"	223	30	0	3	0	141	20	3	10	56	3	19	31	27	1	52	10	28	7	56	53	21	13	45	10	0	51	29	94	7	14	21	2	30	0	127	0	80	16	15	24	0	2
"hsa-mir-489"	0	0	1	0	0	0	1	0	7	0	0	11	0	1	0	0	2	0	0	0	3	0	0	1	0	7	1	0	1	1	2	0	22	0	12	0	0	0	1	2	115	0	13
"hsa-mir-490"	1	20	0	5	1	33	83	17	5	0	3	17	10	28	0	0	8	150	7	1	4	3	2	4	32	0	10	0	0	0	19	0	26	8	15	10	6	0	2	1	13	0	19
"hsa-mir-491"	26	22	16	16	8	9	47	11	22	8	9	4	15	21	21	25	8	6	22	6	17	45	23	18	10	2	21	21	31	9	9	16	11	29	38	30	7	16	51	19	21	14	33
"hsa-mir-493"	32	1094	13593	3853	1618	4	1842	4361	16	2454	13	30	63	36	25	13	27	622	4382	1243	246	37	4996	50	4532	4012	52	3197	5034	1179	26	123	57	560	1689	634	25	320	160	298	9	6109	94
"hsa-mir-494"	4	296	250	233	148	0	425	193	3	370	0	2	3	5	2	1	2	107	483	74	110	1	430	5	316	207	2	336	771	151	4	92	12	10	126	497	1	238	29	150	2	191	5
"hsa-mir-495"	20	2252	2374	1408	465	2	3183	1477	10	1381	9	12	20	40	12	4	24	193	4572	533	793	12	2617	42	3280	2613	26	724	57	794	18	310	14	320	383	3560	14	1908	207	1011	12	1466	18
"hsa-mir-496"	4	413	746	413	118	3	598	460	1	411	2	5	4	2	3	4	6	143	833	240	117	4	873	3	1267	407	2	659	364	248	2	138	8	59	299	1717	3	1187	50	352	2	1523	10
"hsa-mir-497"	146	245	20	39	20	16	98	37	24	49	7	10	42	16	4	365	13	11	11	17	341	60	164	123	109	11	73	25	42	42	34	36	75	35	459	186	35	18	8	107	133	86	39
"hsa-mir-499"	1236	2	1	0	0	2	3	0	2	6	1	6	3	10	3	138	1	3	6	165	14	9	0	148	1	6	2	45	0	8	0	25	0	0	4	1	4	1	2	1	2	3	1
"hsa-mir-500a"	2561	1696	1243	4387	6586	1834	5007	1688	3356	1124	1714	3596	1691	3047	2046	845	4286	4692	4244	259	796	3479	1564	1286	2443	3171	3079	2403	1693	2670	2712	492	6766	3133	5100	3100	1677	1698	2360	3267	4076	4770	3968
"hsa-mir-500b"	55	64	26	75	129	87	163	29	47	36	31	73	51	86	66	37	95	100	125	8	21	86	39	60	61	68	56	41	37	76	80	10	97	69	72	120	45	37	66	126	94	83	63
"hsa-mir-501"	377	320	193	757	934	73	847	416	575	181	374	574	186	592	592	128	775	782	1042	46	130	275	281	224	589	442	576	445	483	294	510	51	626	229	125	589	202	198	408	429	447	1534	451
"hsa-mir-502"	71	46	20	57	96	40	100	26	39	38	37	59	41	34	45	47	58	96	91	8	25	56	24	52	34	29	40	48	19	49	62	11	71	97	74	74	27	42	52	73	106	142	74
